
time;ax;ay;az;Latitude;Longitude;Speed (m/s);Altitude (m);
0,036971;0,0000;0,0000;0,0000;0,00000000;0,00000000;0,00000000;210,60000000;
0,046745;0,0000;0,0000;0,0000;55,75296333;48,74398833;0,12250389;210,60000000;
0,047770;0,9798;-0,7944;0,2223;55,75296333;48,74398833;0,12250389;210,60000000;
0,056407;0,9798;-0,7944;0,2223;55,75296333;48,74398833;0,12250389;210,60000000;
0,066267;0,9798;-0,7944;0,2223;55,75296333;48,74398833;0,12250389;210,60000000;
0,066907;0,3517;-0,3590;0,1765;55,75296333;48,74398833;0,12250389;210,60000000;
0,076672;0,3517;-0,3590;0,1765;55,75296333;48,74398833;0,12250389;210,60000000;
0,085813;0,3517;-0,3590;0,1765;55,75296333;48,74398833;0,12250389;210,60000000;
0,087402;0,0591;-0,0954;0,2697;55,75296333;48,74398833;0,12250389;210,60000000;
0,098072;0,0591;-0,0954;0,2697;55,75296333;48,74398833;0,12250389;210,60000000;
0,105058;0,0591;-0,0954;0,2697;55,75296333;48,74398833;0,12250389;210,60000000;
0,106453;-0,1577;0,0826;0,3565;55,75296333;48,74398833;0,12250389;210,60000000;
0,116426;-0,1577;0,0826;0,3565;55,75296333;48,74398833;0,12250389;210,60000000;
0,125380;-0,1577;0,0826;0,3565;55,75296333;48,74398833;0,12250389;210,60000000;
0,126869;-0,0653;0,0083;0,2086;55,75296333;48,74398833;0,12250389;210,60000000;
0,135872;-0,0653;0,0083;0,2086;55,75296333;48,74398833;0,12250389;210,60000000;
0,145011;-0,0653;0,0083;0,2086;55,75296333;48,74398833;0,12250389;210,60000000;
0,146682;-0,0105;-0,0287;0,1426;55,75296333;48,74398833;0,12250389;210,60000000;
0,155406;-0,0105;-0,0287;0,1426;55,75296333;48,74398833;0,12250389;210,60000000;
0,164513;-0,0105;-0,0287;0,1426;55,75296333;48,74398833;0,12250389;210,60000000;
0,166171;0,0057;-0,0224;0,0678;55,75296333;48,74398833;0,12250389;210,60000000;
0,173975;0,0057;-0,0224;0,0678;55,75296333;48,74398833;0,12250389;210,60000000;
0,184217;0,0057;-0,0224;0,0678;55,75296333;48,74398833;0,12250389;210,60000000;
0,185950;0,0020;-0,0095;0,0058;55,75296333;48,74398833;0,12250389;210,60000000;
0,194815;0,0020;-0,0095;0,0058;55,75296333;48,74398833;0,12250389;210,60000000;
0,203207;0,0020;-0,0095;0,0058;55,75296333;48,74398833;0,12250389;210,60000000;
0,205305;0,0246;-0,0028;-0,0334;55,75296333;48,74398833;0,12250389;210,60000000;
0,215073;0,0246;-0,0028;-0,0334;55,75296333;48,74398833;0,12250389;210,60000000;
0,223493;0,0246;-0,0028;-0,0334;55,75296333;48,74398833;0,12250389;210,60000000;
0,225417;0,0361;0,0066;-0,0843;55,75296333;48,74398833;0,12250389;210,60000000;
0,232989;0,0361;0,0066;-0,0843;55,75296333;48,74398833;0,12250389;210,60000000;
0,242354;0,0361;0,0066;-0,0843;55,75296333;48,74398833;0,12250389;210,60000000;
0,243871;0,0522;-0,0047;-0,0970;55,75296333;48,74398833;0,12250389;210,60000000;
0,252844;0,0522;-0,0047;-0,0970;55,75296333;48,74398833;0,12250389;210,60000000;
0,261962;0,0522;-0,0047;-0,0970;55,75296333;48,74398833;0,12250389;210,60000000;
0,263570;0,0608;0,0083;-0,1249;55,75296333;48,74398833;0,12250389;210,60000000;
0,271339;0,0608;0,0083;-0,1249;55,75296333;48,74398833;0,12250389;210,60000000;
0,282230;0,0608;0,0083;-0,1249;55,75296333;48,74398833;0,12250389;210,60000000;
0,284004;0,0791;0,0295;-0,1363;55,75296333;48,74398833;0,12250389;210,60000000;
0,291221;0,0791;0,0295;-0,1363;55,75296333;48,74398833;0,12250389;210,60000000;
0,301014;0,0791;0,0295;-0,1363;55,75296333;48,74398833;0,12250389;210,60000000;
0,302609;0,0990;0,0226;-0,1363;55,75296333;48,74398833;0,12250389;210,60000000;
0,310906;0,0990;0,0226;-0,1363;55,75296333;48,74398833;0,12250389;210,60000000;
0,320639;0,0990;0,0226;-0,1363;55,75296333;48,74398833;0,12250389;210,60000000;
0,321913;0,0649;0,0110;-0,0715;55,75296333;48,74398833;0,12250389;210,60000000;
0,330018;0,0649;0,0110;-0,0715;55,75296333;48,74398833;0,12250389;210,60000000;
